claim_id,article_id,published_at,source,journalist,primary_player,primary_club,rumor_stage,transfer_direction,is_transfer_related,matched_transfer_id,match_score,match_reason,ambiguity_flag,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,article_type,historical_support_n,credibility_notes
a9892c33bd94722e,32c8dfc9c4e4d632,"Wed, 20 May 2026 16:21:00 GMT",Google News Global EN,,,Manchester United,unclear,unclear,1,,0.0,missing_player_signal,0,0.4125,0.5,0.5,0.1964,0.3076,0.4,0.65,0.5,report,23,unmatched_claim
c96a1f48559ca165,ec25c822a6df1655,"Wed, 20 May 2026 21:24:00 GMT",Google News Global EN,,Bremer,Manchester United,unclear,unclear,0,,0.0,not_transfer_related,0,0.1365,0.5,0.5,0.1964,0.3076,0.4,0.2,0.5,live_blog,23,not_transfer_related|unmatched_claim|live_blog_penalty
f65eaabcb643ce07,3c5350eb23058b5d,"Wed, 20 May 2026 20:16:00 GMT",Google News Global EN,,Casemiro,Manchester United,advanced,out,1,,0.0,missing_player_signal,0,0.4605,0.5,0.5,0.1964,0.3076,0.72,0.65,0.5,report,23,unmatched_claim
a67c685707c98668,847a4051657d7620,"Tue, 19 May 2026 16:07:38 GMT",Google News Global EN,,,Manchester United,unclear,unclear,0,,0.0,not_transfer_related,0,0.1365,0.5,0.5,0.1964,0.3076,0.4,0.2,0.5,live_blog,23,not_transfer_related|unmatched_claim|live_blog_penalty
2a3ada58bc66d880,90b998e72d95e170,"Wed, 20 May 2026 11:10:00 GMT",Google News Global EN,,Alejandro Martínez,Manchester United,unclear,unclear,0,,0.0,not_transfer_related,0,0.1444,0.5,0.5,0.1964,0.3076,0.4,0.65,0.5,report,23,not_transfer_related|unmatched_claim
6b15a60d4785a8d3,b7cbe96ce749196e,"Fri, 15 May 2026 18:42:13 GMT",Google News Global EN,,,Manchester United,unclear,unclear,0,,0.0,not_transfer_related,0,0.1444,0.5,0.5,0.1964,0.3076,0.4,0.65,0.5,report,23,not_transfer_related|unmatched_claim
97b83a29660bc0ec,fb65920407d40a9a,"Wed, 20 May 2026 21:36:00 GMT",Google News Global EN,,Casemiro,Manchester United,advanced,unclear,1,,0.0,missing_player_signal,0,0.4605,0.5,0.5,0.1964,0.3076,0.72,0.65,0.5,report,23,unmatched_claim
41676ca078c15b3f,95956e2f60790aa7,"Tue, 19 May 2026 22:05:22 GMT",Google News Global EN,,Marcus Rashford,Manchester United,unclear,unclear,1,fb1fae580968f543,0.8,exact_player|exact_club|season_match|type_match,0,0.4125,0.5,0.5,0.1964,0.3076,0.4,0.65,0.5,report,23,
d095ac28d7b407e8,a69448249cdec71a,"Wed, 20 May 2026 19:59:46 GMT",Google News Global EN,,,Manchester United,unclear,unclear,1,,0.0,missing_player_signal,0,0.4125,0.5,0.5,0.1964,0.3076,0.4,0.65,0.5,report,23,unmatched_claim
94d5793618d1704b,10b8b6e3d7d34b6c,"Wed, 20 May 2026 23:25:00 GMT",Google News Global EN,,Casemiro,Manchester United,unclear,out,1,,0.0,missing_player_signal,0,0.4125,0.5,0.5,0.1964,0.3076,0.4,0.65,0.5,report,23,unmatched_claim
6f59ca4f976ab556,68db93b175137093,"Wed, 20 May 2026 19:13:50 GMT",Google News Global EN,,,Juventus,unclear,unclear,1,,0.0,missing_player_signal,0,0.4161,0.5,0.5,0.1964,0.3428,0.4,0.65,0.5,report,23,unmatched_claim
c5e0f48d243e0a98,7a0cab3041908c2e,"Sun, 17 May 2026 19:32:46 GMT",Google News Global EN,,,Juventus,medical,unclear,1,,0.0,missing_player_signal,0,0.4911,0.5,0.5,0.1964,0.3428,0.9,0.65,0.5,report,23,unmatched_claim
d2db76cc7468961b,72b2aff3cd60181c,"Wed, 20 May 2026 21:23:23 GMT",Google News Global EN,,Alisson,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.1377,0.5,0.5,0.1964,0.3428,0.4,0.2,0.5,live_blog,23,not_transfer_related|unmatched_claim|live_blog_penalty
22748c946ce2c47f,33f4e5a0e2778020,"Sun, 17 May 2026 14:31:04 GMT",Google News Global EN,,Jonathan Jesus,Juventus,unclear,out,1,,0.0,missing_player_signal,0,0.4161,0.5,0.5,0.1964,0.3428,0.4,0.65,0.5,report,23,unmatched_claim
0eb2ccb5d2654059,fda09bf28be9fa22,"Tue, 19 May 2026 21:05:55 GMT",Google News Global EN,,,Juventus,unclear,unclear,1,,0.0,missing_player_signal,0,0.4161,0.5,0.5,0.1964,0.3428,0.4,0.65,0.5,report,23,unmatched_claim
2bda99048a736fdf,0fc5c00c302339d1,"Fri, 15 May 2026 13:35:00 GMT",Google News Global EN,,,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.1456,0.5,0.5,0.1964,0.3428,0.4,0.65,0.5,report,23,not_transfer_related|unmatched_claim
b9a599e876cfe51b,45d89ef01eb6c9ee,"Wed, 20 May 2026 11:24:19 GMT",Google News Global EN,,,Juventus,unclear,unclear,1,,0.0,missing_player_signal,0,0.4161,0.5,0.5,0.1964,0.3428,0.4,0.65,0.5,report,23,unmatched_claim
aac2696cdf0c7f34,b58bc50872060416,"Sat, 16 May 2026 12:34:50 GMT",Google News Global EN,,Dušan Vlahović,Juventus,unclear,unclear,0,,0.0,not_transfer_related,0,0.1456,0.5,0.5,0.1964,0.3428,0.4,0.65,0.5,report,23,not_transfer_related|unmatched_claim
87554eb381d38486,ad233f45040b15ff,"Sun, 17 May 2026 18:41:45 GMT",Google News Global EN,,Guilherme Luiz,Juventus,unclear,unclear,1,9c6ec181ede976ab,0.62,surname_player|exact_club|season_match|date_near|type_match|ambiguous_close_second,1,0.3745,0.5,0.5,0.1964,0.3428,0.4,0.65,0.5,report,23,ambiguous_match
6cd95a2ab162ac45,5be899580b283d1e,"Wed, 20 May 2026 12:09:45 GMT",Google News Global EN,,Alisson,Juventus,unclear,unclear,1,2ff3955328df86cb,0.52,fuzzy_player|exact_club|season_match|date_near|type_match,0,0.4161,0.5,0.5,0.1964,0.3428,0.4,0.65,0.5,report,23,
bec3b702301534d0,f6428640d86798e5,"Mon, 18 May 2026 16:40:00 GMT",Google News Global EN,,,Ajax NV,unclear,unclear,0,,0.0,not_transfer_related,0,0.1402,0.5,0.5,0.1964,0.1875,0.4,0.65,0.5,report,23,not_transfer_related|unmatched_claim
