club,journalist,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
Borussia Dortmund,,19,2,0.1053,0.1875,0.0742
Manchester United,,32,12,0.375,0.3919,0.335
Juventus,,9,4,0.4444,0.4643,0.4133
Borussia Dortmund,David Tindall,1,0,0.0,0.4167,0.0
Borussia Dortmund,Fabrizio Romano,2,1,0.5,0.5,0.39
Borussia Dortmund,Sid Lowe in Madrid,2,0,0.0,0.3571,0.0
Borussia Dortmund,Daniel Gallan,1,0,0.0,0.4167,0.0
Manchester United,Jamie Jackson,16,10,0.625,0.5952,0.615
Manchester United,Fabrizio Romano,4,2,0.5,0.5,0.45
Manchester United,Gregg Bakowski,1,1,1.0,0.5833,0.98
Manchester United,"Jamie Jackson, Fabrizio Romano and Jacob Steinberg",1,1,1.0,0.5833,0.96
Juventus,Fabrizio Romano,5,5,1.0,0.75,0.9
Juventus,PA Media and Guardian sport,1,1,1.0,0.5833,0.68
Juventus,"Fabrizio Romano, Will Unwin, Jacob Steinberg and PA Media",1,1,1.0,0.5833,0.88
Juventus,Andy Hunter and Fabrizio Romano,1,0,0.0,0.4167,0.0
Borussia Dortmund,Guardian sport,2,1,0.5,0.5,0.53
Borussia Dortmund,Fabrizio Romano and Jamie Jackson,1,1,1.0,0.5833,0.96
Borussia Dortmund,Ed Aarons,1,0,0.0,0.4167,0.0
Borussia Dortmund,Jamie Jackson,1,0,0.0,0.4167,0.0
Manchester United,John Brewin and PA Media,1,1,1.0,0.5833,1.06
Manchester United,Jamie Jackson in Houston,1,1,1.0,0.5833,0.96
Manchester United,Jacob Steinberg,6,2,0.3333,0.4091,0.31
Manchester United,Will Unwin,9,6,0.6667,0.6071,0.7067
Manchester United,Andy Martin,1,1,1.0,0.5833,1.06
Manchester United,Andy Brassell,1,0,0.0,0.4167,0.0
Manchester United,Louise Taylor and Will Unwin,1,0,0.0,0.4167,0.0
Manchester United,Jamie Jackson and Jacob Steinberg,1,0,0.0,0.4167,0.0
Manchester United,Jonathan Liew,1,0,0.0,0.4167,0.0
Manchester United,"Jamie Jackson, Fabrizio Romano, Will Unwin and agencies",1,1,1.0,0.5833,0.78
Manchester United,Andy Hunter at Old Trafford,1,0,0.0,0.4167,0.0
Manchester United,Scott Murray,1,0,0.0,0.4167,0.0
Manchester United,"Jacob Steinberg, Jamie Jackson and Fabrizio Romano",1,1,1.0,0.5833,0.88
Manchester United,Jamie Jackson and Fabrizio Romano,1,1,1.0,0.5833,1.06
Juventus,Gregg Bakowski,1,0,0.0,0.4167,0.0
Juventus,Barry Glendenning,1,0,0.0,0.4167,0.0
Juventus,Rob Smyth,1,1,1.0,0.5833,0.88
Juventus,Will Unwin,1,1,1.0,0.5833,0.78
Manchester United,Jamie Jackson at Murrayfield,1,0,0.0,0.4167,0.0
Borussia Dortmund,Fabrizio Romano and Will Unwin,1,0,0.0,0.4167,0.0
Borussia Dortmund,Will Unwin,1,0,0.0,0.4167,0.0
Borussia Dortmund,Luke McLaughlin,1,0,0.0,0.4167,0.0
Borussia Dortmund,Jacob Steinberg,3,1,0.3333,0.4375,0.2733
Juventus,Jamie Jackson,1,0,0.0,0.4167,0.0
Juventus,Will Unwin (now) and Yara El-Shaboury (earlier),1,0,0.0,0.4167,0.0
Juventus,Ed Aarons,1,1,1.0,0.5833,0.96
Juventus,Daniel Harris,1,1,1.0,0.5833,0.96
Juventus,Jacob Steinberg,1,0,0.0,0.4167,0.0
Manchester United,Guardian sport,1,1,1.0,0.5833,1.06
Manchester United,Jamie Jackson in Melbourne,2,2,1.0,0.6429,1.0
Manchester United,John Brewin,1,0,0.0,0.4167,0.0
Borussia Dortmund,Jacob Steinberg in Philadelphia,1,0,0.0,0.4167,0.0
Borussia Dortmund,Jacob Steinberg and Ed Aarons,1,0,0.0,0.4167,0.0
Borussia Dortmund,Jacob Steinberg and Ben Fisher,1,1,1.0,0.5833,0.86
Juventus,Ben Fisher,1,0,0.0,0.4167,0.0
Juventus,Thiago Rabelo,1,0,0.0,0.4167,0.0
Juventus,Tom Garry,2,1,0.5,0.5,0.49
Juventus,Ed Aarons and Jacob Steinberg,1,0,0.0,0.4167,0.0
Juventus,Jacob Steinberg and Ed Aarons in Los Angeles,1,1,1.0,0.5833,1.0
Manchester United,Jamie Jackson in New York,1,1,1.0,0.5833,0.98
Manchester United,"Emillia Hawkins (now), with David Tindall, Niall McVeigh and Xaymaca Awoyungbo (earlier)",1,0,0.0,0.4167,0.0
Manchester United,"Jamie Jackson, Jacob Steinberg and David Hytner",1,1,1.0,0.5833,1.06
Manchester United,"Andy Hunter, Ed Aarons and Jacob Steinberg",1,0,0.0,0.4167,0.0
Manchester United,Ed Aarons,2,1,0.5,0.5,0.48
Manchester United,Mark Dobson,1,0,0.0,0.4167,0.0
Manchester United,Xaymaca Awoyungbo (earlier) and Rob Smyth (later),1,0,0.0,0.4167,0.0
Juventus,Fabrizio Romano and Andy Hunter,1,1,1.0,0.5833,0.78
