club,journalist,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
Manchester United,Simon Burnton,1,0,0.0,0.4167,0.0
Manchester United,Jacob Steinberg,2,0,0.0,0.3571,0.0
Manchester United,Jonathan Wilson,4,0,0.0,0.2778,0.0
Manchester United,David Hytner,2,0,0.0,0.3571,0.0
Manchester United,Guardian sport,12,0,0.0,0.1471,0.0
Manchester United,John Brewin,2,0,0.0,0.3571,0.0
Manchester United,Sid Lowe at the Camp Nou,1,0,0.0,0.4167,0.0
Manchester United,Rob Smyth,6,0,0.0,0.2273,0.0
Manchester United,Ben Bloom at Wembley,1,0,0.0,0.4167,0.0
Manchester United,Tom Garry at St Helens Stadium,1,0,0.0,0.4167,0.0
Manchester United,Emillia Hawkins,2,0,0.0,0.3571,0.0
Manchester United,Barry Glendenning,5,0,0.0,0.25,0.0
Manchester United,John Brewin at Craven Cottage,1,0,0.0,0.4167,0.0
Manchester United,Ross Heppenstall at the Stadium of Light,1,0,0.0,0.4167,0.0
Manchester United,Scott Murray,2,0,0.0,0.3571,0.0
Manchester United,Barry Glendenning (now) Emillia Hawkins (earlier),1,0,0.0,0.4167,0.0
Manchester United,Ed Aarons,1,0,0.0,0.4167,0.0
Manchester United,Guardian sport and agencies,2,0,0.0,0.3571,0.0
Manchester United,Suzanne Wrack,3,0,0.0,0.3125,0.0
Manchester United,"Niall McVeigh (now), Dominic Booth, Yara El-Shaboury and David Tindall (earlier)",1,0,0.0,0.4167,0.0
Manchester United,Niall McVeigh,1,0,0.0,0.4167,0.0
Manchester United,Ben Fisher,5,0,0.0,0.25,0.0
Manchester United,Dominic Booth,1,0,0.0,0.4167,0.0
Manchester United,Sam Cunningham,1,0,0.0,0.4167,0.0
Manchester United,Will Unwin at Villa Park,1,0,0.0,0.4167,0.0
Manchester United,Will Unwin,2,0,0.0,0.3571,0.0
Manchester United,Jonathan Liew,1,0,0.0,0.4167,0.0
Manchester United,Tom Garry,4,0,0.0,0.2778,0.0
Manchester United,Suzanne Wrack at the Broadfield Stadium,1,0,0.0,0.4167,0.0
Manchester United,Graham Ruthven,1,0,0.0,0.4167,0.0
Manchester United,Jamie Jackson,5,0,0.0,0.25,0.0
Manchester United,Andy Hunter,4,0,0.0,0.2778,0.0
Manchester United,Jack Snape,2,0,0.0,0.3571,0.0
Manchester United,Will Unwin and Andy Hunter,1,0,0.0,0.4167,0.0
Manchester United,Luke McLaughlin,1,0,0.0,0.4167,0.0
Manchester United,Jamie Jackson at Old Trafford,5,1,0.2,0.35,0.16
Manchester United,Andy Hunter at Old Trafford,1,0,0.0,0.4167,0.0
Manchester United,Ed Aarons at the Emirates Stadium,1,0,0.0,0.4167,0.0
Manchester United,John Brewin at the Vitality Stadium,1,0,0.0,0.4167,0.0
Manchester United,"Tom Bassam (now), Xaymaca Awoyungbo and Emillia Hawkins (earlier)",1,0,0.0,0.4167,0.0
Manchester United,Tom Garry in Lyon,1,0,0.0,0.4167,0.0
Manchester United,Jacob Steinberg at the Gtech Community Stadium,1,0,0.0,0.4167,0.0
Manchester United,David Tindall,1,0,0.0,0.4167,0.0
Manchester United,Daniel Lavelle,1,0,0.0,0.4167,0.0
Manchester United,Arthur Renard in Barcelona,1,0,0.0,0.4167,0.0
Manchester United,"Luke McLaughlin (now), John Brewin, Dominic Booth and Tom Davies (earlier)",1,0,0.0,0.4167,0.0
Manchester United,Interviews by Ben Fisher,1,0,0.0,0.4167,0.0
Manchester United,Ben Fisher at The City Ground,1,0,0.0,0.4167,0.0
Manchester United,Jacob Steinberg and Jamie Jackson,1,0,0.0,0.4167,0.0
Manchester United,Thiago Rabelo,1,0,0.0,0.4167,0.0
Manchester United,Exclusive by Matt Hughes,1,0,0.0,0.4167,0.0
Manchester United,Leander Schaerlaeckens,1,0,0.0,0.4167,0.0
Manchester United,Emanuele Giulianelli,1,0,0.0,0.4167,0.0
Manchester United,Exclusive by Matt Hughes in Vancouver,1,0,0.0,0.4167,0.0
Manchester United,Louise Taylor,2,0,0.0,0.3571,0.0
Manchester United,Sid Lowe in Madrid,1,0,0.0,0.4167,0.0
Manchester United,John Duerden,1,0,0.0,0.4167,0.0
Manchester United,Daniel Harris,1,0,0.0,0.4167,0.0
Manchester United,Alexander Abnos and Pablo Iglesias Maurer,1,0,0.0,0.4167,0.0
Manchester United,Luke Entwistle,1,0,0.0,0.4167,0.0
Manchester United,Barney Ronay,1,0,0.0,0.4167,0.0
Manchester United,"Graham Searles (now), John Brewin and Will Unwin (earlier)",1,0,0.0,0.4167,0.0
