source,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
The Guardian / Simon Burnton,1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg,6,0,0.0,0.2273,0.0
The Guardian / Jonathan Wilson,6,0,0.0,0.2273,0.0
The Guardian / David Hytner,4,0,0.0,0.2778,0.0
The Guardian / Guardian sport,21,0,0.0,0.0962,0.0
The Guardian / John Brewin,6,0,0.0,0.2273,0.0
The Guardian / Sid Lowe at the Camp Nou,1,0,0.0,0.4167,0.0
The Guardian / Rob Smyth,10,0,0.0,0.1667,0.0
The Guardian / Ben Bloom at Wembley,1,0,0.0,0.4167,0.0
The Guardian / Tom Garry at St Helens Stadium,1,0,0.0,0.4167,0.0
The Guardian / Emillia Hawkins,3,0,0.0,0.3125,0.0
The Guardian / Barry Glendenning,7,0,0.0,0.2083,0.0
The Guardian / John Brewin at Craven Cottage,1,0,0.0,0.4167,0.0
The Guardian / Ross Heppenstall at the Stadium of Light,1,0,0.0,0.4167,0.0
The Guardian / Scott Murray,4,0,0.0,0.2778,0.0
The Guardian / Barry Glendenning (now) Emillia Hawkins (earlier),1,0,0.0,0.4167,0.0
The Guardian / Ed Aarons,4,0,0.0,0.2778,0.0
The Guardian / Guardian sport and agencies,4,0,0.0,0.2778,0.0
The Guardian / Suzanne Wrack,3,0,0.0,0.3125,0.0
"The Guardian / Niall McVeigh (now), Dominic Booth, Yara El-Shaboury and David Tindall (earlier)",1,0,0.0,0.4167,0.0
The Guardian / Niall McVeigh,1,0,0.0,0.4167,0.0
The Guardian / Ben Fisher,8,0,0.0,0.1923,0.0
The Guardian / Dominic Booth,2,0,0.0,0.3571,0.0
The Guardian / Sam Cunningham,2,0,0.0,0.3571,0.0
The Guardian / Will Unwin at Villa Park,1,0,0.0,0.4167,0.0
The Guardian / Will Unwin,7,0,0.0,0.2083,0.0
The Guardian / Jonathan Liew,1,0,0.0,0.4167,0.0
The Guardian / Tom Garry,6,0,0.0,0.2273,0.0
The Guardian / Suzanne Wrack at the Broadfield Stadium,1,0,0.0,0.4167,0.0
The Guardian / Graham Ruthven,1,0,0.0,0.4167,0.0
The Guardian / Jamie Jackson,6,0,0.0,0.2273,0.0
The Guardian / Andy Hunter,7,0,0.0,0.2083,0.0
The Guardian / Jack Snape,3,0,0.0,0.3125,0.0
The Guardian / Will Unwin and Andy Hunter,1,0,0.0,0.4167,0.0
The Guardian / Luke McLaughlin,1,0,0.0,0.4167,0.0
The Guardian / Jamie Jackson at Old Trafford,5,1,0.2,0.35,0.16
The Guardian / Andy Hunter at Old Trafford,1,0,0.0,0.4167,0.0
The Guardian / Ed Aarons at the Emirates Stadium,1,0,0.0,0.4167,0.0
The Guardian / John Brewin at the Vitality Stadium,1,0,0.0,0.4167,0.0
"The Guardian / Tom Bassam (now), Xaymaca Awoyungbo and Emillia Hawkins (earlier)",1,0,0.0,0.4167,0.0
The Guardian / Tom Garry in Lyon,1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg at the Gtech Community Stadium,1,0,0.0,0.4167,0.0
The Guardian / David Tindall,1,0,0.0,0.4167,0.0
The Guardian / Daniel Lavelle,1,0,0.0,0.4167,0.0
The Guardian / Arthur Renard in Barcelona,1,0,0.0,0.4167,0.0
"The Guardian / Luke McLaughlin (now), John Brewin, Dominic Booth and Tom Davies (earlier)",1,0,0.0,0.4167,0.0
The Guardian / Interviews by Ben Fisher,1,0,0.0,0.4167,0.0
The Guardian / Ben Fisher at The City Ground,1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg and Jamie Jackson,1,0,0.0,0.4167,0.0
The Guardian / Thiago Rabelo,1,0,0.0,0.4167,0.0
The Guardian / Exclusive by Matt Hughes,4,0,0.0,0.2778,0.0
The Guardian / Leander Schaerlaeckens,1,0,0.0,0.4167,0.0
The Guardian / Emanuele Giulianelli,1,0,0.0,0.4167,0.0
