journalist,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
Will Unwin,14,10,0.7143,0.6579,0.6986
Andy Martin,1,1,1.0,0.5833,1.06
Andy Brassell,1,0,0.0,0.4167,0.0
Louise Taylor and Will Unwin,1,0,0.0,0.4167,0.0
Jamie Jackson,3,1,0.3333,0.4375,0.3267
Jamie Jackson and Jacob Steinberg,1,0,0.0,0.4167,0.0
Jonathan Liew,1,0,0.0,0.4167,0.0
Jacob Steinberg in Philadelphia,1,0,0.0,0.4167,0.0
Jacob Steinberg and Ed Aarons,2,1,0.5,0.5,0.53
Jacob Steinberg and Ben Fisher,2,2,1.0,0.6429,0.86
Jacob Steinberg,9,7,0.7778,0.6786,0.62
"Jamie Jackson, Jacob Steinberg and David Hytner",1,1,1.0,0.5833,1.06
"Andy Hunter, Ed Aarons and Jacob Steinberg",1,0,0.0,0.4167,0.0
Ed Aarons,6,4,0.6667,0.5909,0.6
"Ed Aarons, Will Unwin and Jacob Steinberg",1,1,1.0,0.5833,0.96
Tom Bassam,1,1,1.0,0.5833,0.88
Michael Butler,2,1,0.5,0.5,0.49
John Brewin,4,2,0.5,0.5,0.47
Louise Taylor,1,0,0.0,0.4167,0.0
Will Unwin and Andy Hunter,1,0,0.0,0.4167,0.0
Tom Davies,2,2,1.0,0.6429,0.9
Andy Hunter and Agencies,1,1,1.0,0.5833,0.88
Exclusive by Tom Garry,1,0,0.0,0.4167,0.0
"Jacob Steinberg, Ben Fisher and Ed Aarons",1,1,1.0,0.5833,0.98
Ben Fisher,3,2,0.6667,0.5625,0.5867
"Louise Taylor, Ben Fisher and Jacob Steinberg",1,1,1.0,0.5833,1.04
Dominic Booth,1,1,1.0,0.5833,0.78
Jamie Jackson and Will Unwin,1,1,1.0,0.5833,0.84
Exclusive by Jamie Jackson,1,1,1.0,0.5833,1.04
Daniel Harris,1,1,1.0,0.5833,0.98
Alexander Abnos at MetLife Stadium,1,0,0.0,0.4167,0.0
Ben Fisher and Jacob Steinberg,1,1,1.0,0.5833,0.88
Ewan Murray and Jacob Steinberg,1,0,0.0,0.4167,0.0
Jamie Jackson and Ed Aarons,1,1,1.0,0.5833,0.76
Exclusive by Will Unwin,1,1,1.0,0.5833,0.96
"Will Magee, John Brewin, Daniel Harris and Niall McVeigh",1,0,0.0,0.4167,0.0
Rob Smyth,1,1,1.0,0.5833,0.96
Alexander Abnos,1,0,0.0,0.4167,0.0
"Jamie Jackson at the Camping World Stadium, Orlando",1,0,0.0,0.4167,0.0
"Sid Lowe at Hard Rock Stadium, Miami",1,0,0.0,0.4167,0.0
Jacob Steinberg and agencies,1,1,1.0,0.5833,0.9
"Will Magee, Niall McVeigh and Billy Munday",1,1,1.0,0.5833,0.9
Guardian staff and agencies,1,1,1.0,0.5833,0.98
Hannah Ellis-Petersen in Delhi and Jennifer Rankin in Brussels,1,0,0.0,0.4167,0.0
Will Unwin and David Hytner,1,0,0.0,0.4167,0.0
Ben Fisher and Mark Dobson,1,0,0.0,0.4167,0.0
Patrick Wintour Diplomatic editor,1,0,0.0,0.4167,0.0
Sarah Martin,1,1,1.0,0.5833,0.88
Tom Garry,2,2,1.0,0.6429,0.86
Guardian sport,1,1,1.0,0.5833,0.88
"Jamie Jackson, Louise Taylor, Ed Aarons and agencies",1,0,0.0,0.4167,0.0
Yara El-Shaboury,2,2,1.0,0.6429,0.94
"John Brewin , Tom Bassam, Tom Davies and Taha Hashim",1,0,0.0,0.4167,0.0
Lisa O’Carroll,1,0,0.0,0.4167,0.0
Dani Anguiano,1,0,0.0,0.4167,0.0
Tom Ambrose (now) and Taz Ali (earlier),1,0,0.0,0.4167,0.0
Martin Belam,1,0,0.0,0.4167,0.0
Kelly Burke Arts reporter,1,0,0.0,0.4167,0.0
"Coral Murphy Marcos, Chris Stein, Erum Salam and Tom Ambrose (earlier)",1,0,0.0,0.4167,0.0
