claim_id,article_id,published_at,source,journalist,primary_player,primary_club,rumor_stage,transfer_direction,is_transfer_related,matched_transfer_id,match_score,match_reason,ambiguity_flag,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,article_type,historical_support_n,credibility_notes
d2663d045eef939b,6ebb2d42a655425f,2025-08-06T11:16:51Z,The Guardian / Will Unwin,Will Unwin,Benjamin Sesko,Manchester United,unclear,in,1,6829f1260eda10ad,1.06,exact_player|exact_club|season_match|date_near|direction_match|type_match|fee_close,0,0.722,0.84,0.7752,0.7474,0.6747,0.4,0.65,0.95,report,28,
6a08f457d43e2ad5,bf9ddc18ba8d0cb0,2025-08-09T09:33:11Z,The Guardian / Andy Martin,Andy Martin,Benjamin Sesko,Manchester United,unclear,in,1,6829f1260eda10ad,1.06,exact_player|exact_club|season_match|date_near|direction_match|type_match|fee_close,0,0.7904,0.84,0.8587,0.8667,0.9533,0.4,0.65,0.95,report,2,low_history_support
183bc5d27d2f4360,297f744501e9d7ba,2025-08-07T14:38:46Z,The Guardian / Will Unwin,Will Unwin,Benjamin Sesko,Manchester United,medical,in,1,6829f1260eda10ad,1.06,exact_player|exact_club|season_match|date_near|direction_match|type_match|fee_close,0,0.797,0.84,0.7752,0.7474,0.6747,0.9,0.65,0.95,report,28,
68b07976c67fcc01,784243976dc67f2d,2025-08-13T19:00:02Z,The Guardian / Andy Brassell,Andy Brassell,Benjamin Sesko,Manchester United,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.35,0.5,analysis,2,not_transfer_related|unmatched_claim|low_history_support
9d1c1745943c199f,0c9997af647feb8d,2025-08-05T13:06:42Z,The Guardian / Louise Taylor and Will Unwin,Louise Taylor and Will Unwin,Benjamin Sesko,Manchester United,unclear,unclear,0,,0.0,not_transfer_related,0,0.2,0.84,0.742,0.7,0.371,0.4,0.65,0.5,report,2,not_transfer_related|unmatched_claim|low_history_support
ea70a7fc70bde1a4,9ba1d7e82ada0653,2025-07-21T19:07:30Z,The Guardian / Will Unwin,Will Unwin,Bryan Mbeumo,Manchester United,unclear,in,1,72fc941a090043f2,1.06,exact_player|exact_club|season_match|date_near|direction_match|type_match|fee_close,0,0.722,0.84,0.7752,0.7474,0.6747,0.4,0.65,0.95,report,28,
a18dbe230e1c1ca9,d1b29c446e884abd,2025-07-17T17:22:50Z,The Guardian / Will Unwin,Will Unwin,Bryan Mbeumo,Manchester United,bid,in,1,72fc941a090043f2,1.06,exact_player|exact_club|season_match|date_near|direction_match|type_match|fee_close,0,0.747,0.84,0.7752,0.7474,0.6747,0.6,0.65,0.85,report,28,
9e1d8f58d89906ee,185adc6a1e646b69,2025-06-25T12:30:29Z,The Guardian / Jamie Jackson,Jamie Jackson,Bryan Mbeumo,Manchester United,advanced,in,1,,0.0,missing_player_signal,0,0.694,0.84,0.707,0.65,0.4708,0.72,0.65,0.5,report,6,unmatched_claim
94393adb6326ac0d,b8ce35470529c823,2025-07-18T12:09:58Z,The Guardian / Will Unwin,Will Unwin,Bryan Mbeumo,Manchester United,agreed,in,1,72fc941a090043f2,1.06,exact_player|exact_club|season_match|date_near|direction_match|type_match|fee_close,0,0.785,0.84,0.7752,0.7474,0.6747,0.82,0.65,0.95,report,28,
332cef53bad3a259,7839f1e366b30290,2025-06-23T21:24:03Z,The Guardian / Jamie Jackson and Jacob Steinberg,Jamie Jackson and Jacob Steinberg,Bryan Mbeumo,Manchester United,bid,in,1,,0.0,missing_player_signal,0,0.683,0.84,0.742,0.7,0.371,0.6,0.65,0.5,report,2,unmatched_claim|low_history_support
