source,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
The Guardian / Will Unwin,14,10,0.7143,0.6579,0.6986
The Guardian / Andy Martin,1,1,1.0,0.5833,1.06
The Guardian / Andy Brassell,1,0,0.0,0.4167,0.0
The Guardian / Louise Taylor and Will Unwin,1,0,0.0,0.4167,0.0
The Guardian / Jamie Jackson,3,1,0.3333,0.4375,0.3267
The Guardian / Jamie Jackson and Jacob Steinberg,1,0,0.0,0.4167,0.0
The Guardian / Jonathan Liew,1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg in Philadelphia,1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg and Ed Aarons,2,1,0.5,0.5,0.53
The Guardian / Jacob Steinberg and Ben Fisher,2,2,1.0,0.6429,0.86
The Guardian / Jacob Steinberg,9,7,0.7778,0.6786,0.62
"The Guardian / Jamie Jackson, Jacob Steinberg and David Hytner",1,1,1.0,0.5833,1.06
"The Guardian / Andy Hunter, Ed Aarons and Jacob Steinberg",1,0,0.0,0.4167,0.0
The Guardian / Ed Aarons,6,4,0.6667,0.5909,0.6
"The Guardian / Ed Aarons, Will Unwin and Jacob Steinberg",1,1,1.0,0.5833,0.96
The Guardian / Tom Bassam,1,1,1.0,0.5833,0.88
The Guardian / Michael Butler,2,1,0.5,0.5,0.49
The Guardian / John Brewin,4,2,0.5,0.5,0.47
The Guardian / Louise Taylor,1,0,0.0,0.4167,0.0
The Guardian / Will Unwin and Andy Hunter,1,0,0.0,0.4167,0.0
The Guardian / Tom Davies,2,2,1.0,0.6429,0.9
The Guardian / Andy Hunter and Agencies,1,1,1.0,0.5833,0.88
The Guardian / Exclusive by Tom Garry,1,0,0.0,0.4167,0.0
"The Guardian / Jacob Steinberg, Ben Fisher and Ed Aarons",1,1,1.0,0.5833,0.98
The Guardian / Ben Fisher,3,2,0.6667,0.5625,0.5867
"The Guardian / Louise Taylor, Ben Fisher and Jacob Steinberg",1,1,1.0,0.5833,1.04
The Guardian / Dominic Booth,1,1,1.0,0.5833,0.78
The Guardian / Jamie Jackson and Will Unwin,1,1,1.0,0.5833,0.84
The Guardian / Exclusive by Jamie Jackson,1,1,1.0,0.5833,1.04
The Guardian / Daniel Harris,1,1,1.0,0.5833,0.98
The Guardian / Alexander Abnos at MetLife Stadium,1,0,0.0,0.4167,0.0
The Guardian / Ben Fisher and Jacob Steinberg,1,1,1.0,0.5833,0.88
The Guardian / Ewan Murray and Jacob Steinberg,1,0,0.0,0.4167,0.0
The Guardian / Jamie Jackson and Ed Aarons,1,1,1.0,0.5833,0.76
The Guardian / Exclusive by Will Unwin,1,1,1.0,0.5833,0.96
"The Guardian / Will Magee, John Brewin, Daniel Harris and Niall McVeigh",1,0,0.0,0.4167,0.0
The Guardian / Rob Smyth,1,1,1.0,0.5833,0.96
The Guardian / Alexander Abnos,1,0,0.0,0.4167,0.0
"The Guardian / Jamie Jackson at the Camping World Stadium, Orlando",1,0,0.0,0.4167,0.0
"The Guardian / Sid Lowe at Hard Rock Stadium, Miami",1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg and agencies,1,1,1.0,0.5833,0.9
"The Guardian / Will Magee, Niall McVeigh and Billy Munday",1,1,1.0,0.5833,0.9
The Guardian / Guardian staff and agencies,1,1,1.0,0.5833,0.98
The Guardian / Hannah Ellis-Petersen in Delhi and Jennifer Rankin in Brussels,1,0,0.0,0.4167,0.0
The Guardian / Will Unwin and David Hytner,1,0,0.0,0.4167,0.0
The Guardian / Ben Fisher and Mark Dobson,1,0,0.0,0.4167,0.0
The Guardian / Patrick Wintour Diplomatic editor,1,0,0.0,0.4167,0.0
The Guardian / Sarah Martin,1,1,1.0,0.5833,0.88
The Guardian / Tom Garry,2,2,1.0,0.6429,0.86
The Guardian / Guardian sport,1,1,1.0,0.5833,0.88
"The Guardian / Jamie Jackson, Louise Taylor, Ed Aarons and agencies",1,0,0.0,0.4167,0.0
The Guardian / Yara El-Shaboury,2,2,1.0,0.6429,0.94
"The Guardian / John Brewin , Tom Bassam, Tom Davies and Taha Hashim",1,0,0.0,0.4167,0.0
The Guardian / Lisa O’Carroll,1,0,0.0,0.4167,0.0
The Guardian / Dani Anguiano,1,0,0.0,0.4167,0.0
The Guardian / Tom Ambrose (now) and Taz Ali (earlier),1,0,0.0,0.4167,0.0
The Guardian / Martin Belam,1,0,0.0,0.4167,0.0
The Guardian / Kelly Burke Arts reporter,1,0,0.0,0.4167,0.0
"The Guardian / Coral Murphy Marcos, Chris Stein, Erum Salam and Tom Ambrose (earlier)",1,0,0.0,0.4167,0.0
The Guardian,1,1,1.0,0.5833,0.88
