date,published_date,club,player,source,title,url,credibility_score,rumor_strength,rumor_count,source_diversity,max_credibility,avg_credibility,max_rumor_strength,avg_rumor_strength,season,direction,transfer_type,is_loan,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,fee_to_market,market_minus_fee_eur,transfer_quality,transfer_indicator,rumor_indicator,pre_stock_return_7d,pre_stock_return_30d,pre_stock_volatility_30d,pre_market_return_30d,stock_context_indicator,car_m1_p1,car_0_p1,car_0_p3,car_0_p7,target_car,target_label,label,market_feature_backend,market_feature_status,market_feature_notes,event_date_used,event_trading_date,event_trading_offset_days,estimation_points,market_model_alpha,market_model_beta,pre_window_ok_30d,post_window_ok_10d,pre_raw_return_m1,pre_raw_return_m3,pre_raw_return_m5,pre_raw_return_m10,pre_raw_return_m20,pre_raw_return_m30,pre_market_return_m1,pre_market_return_m3,pre_market_return_m5,pre_market_return_m10,pre_market_return_m20,pre_market_return_m30,pre_abnormal_return_m1,pre_abnormal_return_m3,pre_abnormal_return_m5,pre_abnormal_return_m10,raw_return_0_p1,raw_return_0_p3,raw_return_0_p5,raw_return_0_p10,market_return_0_p1,market_return_0_p3,market_return_0_p5,market_return_0_p10,abnormal_return_0_p1,abnormal_return_0_p3,abnormal_return_0_p5,abnormal_return_0_p10,pre_volatility_20d,post_volatility_20d,volatility_shift_20d,pre_close_zscore_20d,event_close_zscore_20d,pre_volume_zscore_20d,event_volume_zscore_20d,relative_volume_20d,target_abnormal_return_p3,target_label_p3
2021-06-23,2021-06-23,Borussia Dortmund,Jadon Sancho,The Guardian / Fabrizio Romano,Manchester United increase offer for Jadon Sancho to £73m,https://www.theguardian.com/football/2021/jun/23/manchester-united-increase-offer-for-jadon-sancho-to-73m,0.95,0.7575,1,1,0.95,0.95,0.7575,0.7575,2021-22,out,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.6362,0.5556,0.7426,-0.036071,0.064407,0.018892,0.034166,0.5979,-0.032513,-0.01497,-0.01426,-0.022579,-0.01426,neutral,neutral,python_fallback,ok,,2021-06-23,2021-06-23,0,113,0.001019,0.581495,1,1,-0.013354,-0.029366,-0.017214,-0.011802,0.027823,0.054576,0.002121,-0.005808,-0.005924,-0.000273,0.011073,0.015319,-0.015607,-0.029365,-0.018806,-0.021261,-0.011147,-0.006369,-0.01035,-0.015924,-0.003012,-0.005254,-0.006734,0.003606,-0.01152,-0.007321,-0.012557,-0.028517,0.015775,0.014407,-0.001368,0.13941,-0.01912,-0.944655,-1.006409,0.432204,-0.007321,neutral
2021-06-23,2021-06-23,Manchester United,Jadon Sancho,The Guardian / Fabrizio Romano,Manchester United increase offer for Jadon Sancho to £73m,https://www.theguardian.com/football/2021/jun/23/manchester-united-increase-offer-for-jadon-sancho-to-73m,0.95,0.7575,1,1,0.95,0.95,0.7575,0.7575,2021-22,in,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.7337,0.6069,0.7426,-0.005806,-0.03567,0.012439,0.022721,0.5946,0.003992,0.010124,-0.001856,0.006974,-0.001856,neutral,neutral,python_fallback,ok,,2021-06-23,2021-06-23,0,112,-0.000986,0.560898,1,1,-0.005806,-0.001296,-0.003234,-0.023447,-0.017219,-0.041667,0.005124,0.005822,-3.5e-05,0.004537,0.011768,0.01385,-0.007694,-0.001659,0.001641,-0.016308,0.00584,-0.009734,-0.014276,-0.032446,0.004722,0.010402,0.012024,0.017516,0.005154,-0.01149,-0.015009,-0.031566,0.010493,0.013051,0.002559,-1.613941,-1.054296,0.173213,-0.51405,0.62662,-0.01149,neutral
2021-07-01,2021-07-01,Borussia Dortmund,Jadon Sancho,The Guardian / Ed Aarons | The Guardian / Fabrizio Romano and Jamie Jackson,Jadon Sancho set to join Manchester United after £73m deal agreed || ‘Huge ambitions and courage’: the unstoppable rise of Jadon Sancho ,https://www.theguardian.com/football/2021/jul/01/unstoppable-rise-of-jadon-sancho-manchester-united | https://www.theguardian.com/football/2021/jun/30/jadon-sancho-set-to-join-manchester-united-after-78m-deal-agreed,0.95,0.7575,2,2,0.95,0.895,0.7575,0.7218,2021-22,out,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.6362,0.5556,0.7926,-0.01035,-0.008772,0.015087,0.027623,0.5963,0.002631,0.001922,0.008237,-0.047711,0.008237,neutral,neutral,python_fallback,ok,,2021-07-01,2021-07-01,0,119,0.00087,0.58744,1,1,-0.002408,-0.011924,-0.006395,-0.026625,0.022204,-0.02203,-0.010169,-0.004929,0.00483,-0.011427,-0.004593,0.009389,0.002696,-0.011722,-0.013528,-0.028696,0.010459,0.016895,-0.037812,-0.012872,0.007665,-0.001266,-0.007108,0.00635,0.004783,0.014616,-0.03832,-0.024759,0.011205,0.017825,0.00662,-0.81251,0.548206,-0.453183,0.753662,1.388039,0.014616,neutral
2021-07-01,2021-07-01,Manchester United,Jadon Sancho,The Guardian / Ed Aarons | The Guardian / Fabrizio Romano and Jamie Jackson | kickoff.com | pressandjournal.co.uk,Manchester United agree deal with Borussia Dortmund for Jadon Sancho || Borussia Dortmund and Manchester United have confirmed Jadon Sancho || Jadon Sancho set to join Manchester United after £73m deal agreed || ‘Huge ambitions and courage’: the unstoppable rise of Jadon Sancho ,https://www.kickoff.com/news/articles/world-news/categories/news/english-premier-league/borussia-dortmund-and-manchester-united-have-confirmed-jadon-sancho-transfer-to-england/701580 | https://www.pressandjournal.co.uk/news/world/3278803/manchester-united-agree-deal-with-borussia-dortmund-for-jadon-sancho/ | https://www.theguardian.com/football/2021/jul/01/unstoppable-rise-of-jadon-sancho-manchester-united | https://www.theguardian.com/football/2021/jun/30/jadon-sancho-set-to-join-manchester-united-after-78m-deal-agreed,0.5,0.465,4,4,0.95,0.6975,0.7575,0.5934,2021-22,in,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.7337,0.6069,0.9726,-0.014276,-0.027529,0.00951,0.044177,0.6123,0.007938,0.006339,-0.012291,-0.003595,-0.012291,neutral,neutral,python_fallback,ok,,2021-07-01,2021-07-01,0,118,-0.00087,0.514125,1,1,-0.001315,-0.021893,-0.0181,-0.017464,-0.029393,-0.043451,0.001328,0.003925,0.013122,0.017473,0.02124,0.041104,-0.001128,-0.021382,-0.020467,-0.01772,0.009217,-0.016458,-0.011192,-0.005925,0.012761,0.014108,0.016766,0.006902,0.004399,-0.020144,-0.014431,0.000371,0.008313,0.012834,0.004522,-2.165566,-1.304506,-0.300026,0.509687,1.318305,-0.020144,negative
2021-07-02,2021-07-02,Manchester United,Jadon Sancho,sportsmole.co.uk,Manchester United confirm Jadon Sancho agreement,https://www.sportsmole.co.uk/football/man-utd/transfer-talk/news/manchester-united-confirm-jadon-sancho-agreement_453554.html,0.5,0.675,1,1,0.5,0.5,0.675,0.675,2021-22,in,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.7337,0.6069,0.6912,-0.011635,-0.018614,0.009601,0.038667,0.6158,-0.003735,-0.009798,-0.009297,0.002805,-0.009297,neutral,neutral,python_fallback,ok,,2021-07-02,2021-07-02,0,119,-0.000872,0.514033,1,1,0.006583,0.001966,-0.013548,-0.009073,-0.039573,-0.021127,0.005222,0.006836,0.012528,0.023231,0.030311,0.04963,0.004771,0.001097,-0.015512,-0.012089,-0.01308,-0.024853,-0.015697,-0.035971,0.005463,0.000204,0.014975,-0.014225,-0.014112,-0.021644,-0.018097,-0.019196,0.007385,0.012839,0.005454,-1.304506,-1.00508,0.509687,-1.291648,0.427289,-0.021644,negative
2021-07-23,2021-07-23,Borussia Dortmund,Jadon Sancho,The Guardian / Guardian sport | The Guardian / Jamie Jackson,"Jadon Sancho seals £73m Manchester United move from Dortmund || Jadon Sancho, the 'generational' player who could be a bargain for Manchester United | Jamie Jackson",https://www.theguardian.com/football/2021/jul/23/jadon-sancho-seals-73m-manchester-united-move-from-dortmund | https://www.theguardian.com/football/2021/jul/23/jadon-sancho-the-generational-player-who-could-be-a-bargain-for-manchester-united,0.84,0.686,2,2,0.84,0.84,0.686,0.686,2021-22,out,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.6362,0.5556,0.7181,0.008237,-0.059908,0.015578,-0.011389,0.5671,-0.018006,-0.001309,-0.006112,0.00721,-0.006112,neutral,neutral,python_fallback,ok,,2021-07-23,2021-07-23,0,120,0.001143,0.526772,1,1,-0.012903,0.025985,-0.002445,0.023411,-0.014493,-0.06422,0.005968,0.025199,-0.007365,0.006089,-0.004791,-0.00364,-0.017189,0.00996,-0.003393,0.009633,0.003268,-0.002451,0.001634,0.041667,0.006732,0.003598,0.001924,0.015915,-0.002451,-0.008693,-0.006019,0.020487,0.017415,0.018056,0.000641,-0.408441,-0.863445,-0.038889,-1.377254,0.376282,-0.008693,neutral
2021-07-23,2021-07-23,Manchester United,Jadon Sancho,The Guardian / Guardian sport | The Guardian / Jamie Jackson,"Jadon Sancho seals £73m Manchester United move from Dortmund || Jadon Sancho, the 'generational' player who could be a bargain for Manchester United | Jamie Jackson",https://www.theguardian.com/football/2021/jul/23/jadon-sancho-seals-73m-manchester-united-move-from-dortmund | https://www.theguardian.com/football/2021/jul/23/jadon-sancho-the-generational-player-who-could-be-a-bargain-for-manchester-united,0.84,0.686,2,2,0.84,0.84,0.686,0.686,2021-22,in,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.7337,0.6069,0.7181,0.0493,0.003824,0.011561,0.030265,0.6686,0.012758,0.000601,0.022553,0.032156,0.022553,positive,positive,python_fallback,ok,,2021-07-23,2021-07-23,0,120,-0.000447,0.513467,1,1,0.009615,0.068521,0.043046,0.056338,0.0181,0.00639,0.002017,0.025594,0.001709,0.010799,0.029619,0.035058,0.009026,0.055468,0.04454,0.054933,0.000635,0.012063,0.020952,0.034921,0.012552,0.007593,0.006361,0.015808,-0.004821,0.009986,0.020266,0.031611,0.01318,0.009575,-0.003605,2.556017,2.834508,7.678303,-0.129125,0.838547,0.009986,neutral
2022-01-13,2022-01-13,Juventus,Dušan Vlahović,The Guardian / Fabrizio Romano,Arsenal pushing to sign Juventus midfielder Arthur Melo on loan,https://www.theguardian.com/football/2022/jan/13/arsenal-pushing-to-sign-juventus-midfielder-arthur-melo-on-loan,0.95,0.7575,1,1,0.95,0.95,0.7575,0.7575,2021-22,in,permanent,0,22.0,Centre-Forward,70000000.0,85400000.0,,1.22,-15400000.0,0.6755,0.5044,0.7426,-0.102848,-0.215044,0.033076,0.073603,0.3759,0.010734,0.022363,0.042102,0.094287,0.042102,positive,positive,python_fallback,ok,,2022-01-13,2022-01-13,0,120,-0.004468,0.861144,1,1,-0.011047,-0.049721,-0.085484,-0.021289,-0.164538,-0.211405,0.006501,0.003476,-0.015943,0.009801,0.043802,0.064204,-0.012177,-0.039742,-0.052055,0.018656,0.00823,0.017049,0.049383,0.133451,-0.006134,-0.008335,-0.005196,-0.030021,0.022392,0.041929,0.07971,0.203062,0.034852,0.025577,-0.009275,-1.01479,-0.930819,-0.950671,-1.026067,0.199446,0.041929,positive
2022-01-25,2022-01-25,Juventus,Dušan Vlahović,The Guardian / Fabrizio Romano,Juventus strike €75m deal to sign Dusan Vlahovic from Fiorentina,https://www.theguardian.com/football/2022/jan/25/juventus-75m-deal-sign-dusan-vlahovic-from-fiorentina,0.95,0.9675,1,1,0.95,0.95,0.9675,0.9675,2021-22,in,permanent,0,22.0,Centre-Forward,70000000.0,85400000.0,,1.22,-15400000.0,0.6755,0.5044,0.8161,-0.002915,-0.181818,0.030387,-0.028029,0.4381,0.107563,0.094389,0.134715,0.080978,0.134715,positive,positive,python_fallback,ok,,2022-01-25,2022-01-25,0,120,-0.004879,0.848088,1,1,-0.025641,-0.033898,-0.006392,-0.004077,0.007067,-0.177093,-0.040205,-0.051076,-0.061974,-0.050486,-0.038607,-0.031473,0.013336,0.024254,0.072129,0.08851,0.108187,0.140351,0.090643,0.115205,0.024872,0.022793,0.048204,0.016902,0.094116,0.134321,0.079175,0.153723,0.023286,0.028787,0.005501,-0.822529,0.833058,-0.38252,0.161465,1.103103,0.134321,positive
2022-01-27,2022-01-27,Juventus,Dušan Vlahović,"The Guardian / Fabrizio Romano, Will Unwin, Jacob Steinberg and PA Media",Transfer roundup: Rangers seal Diallo loan as Juventus land €75m Vlahovic,https://www.theguardian.com/football/2022/jan/27/transfer-round-up-rangers-diallo-loan-manchester-united-nottingham-forest-reject-johnson-bid-brentford,0.95,0.7575,1,1,0.95,0.95,0.7575,0.7575,2021-22,in,permanent,0,22.0,Centre-Forward,70000000.0,85400000.0,,1.22,-15400000.0,0.6755,0.5044,0.7426,0.095376,-0.033163,0.032938,0.002335,0.6006,0.07937,0.040517,-0.014019,-0.008531,-0.014019,neutral,neutral,python_fallback,ok,,2022-01-27,2022-01-27,0,120,-0.004737,0.829807,1,1,0.052778,0.079772,0.070621,0.114051,0.090334,-0.069253,0.022667,-0.016333,-0.027474,-0.039511,-0.030097,0.002561,0.038705,0.106742,0.11717,0.191154,0.029024,-0.015831,-0.028496,0.054881,-0.002029,0.022766,0.017657,0.021451,0.039885,-0.015094,-0.014439,0.091311,0.027731,0.024008,-0.003724,2.511235,2.620274,1.20172,0.302448,1.190613,-0.015094,neutral
