claim_id,article_id,published_at,date,published_date,source,journalist,club,player,season,direction,transfer_type,is_loan,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,fee_to_market,market_minus_fee_eur,transfer_quality,transfer_indicator,rumor_strength,rumor_indicator,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,historical_support_n,match_score,ambiguity_flag,entity_match_indicator,rumor_stage,article_type,source_diversity,rumor_count,max_credibility,avg_credibility,max_rumor_strength,avg_rumor_strength,label
21d57994d8dfd201,21cb6900fa532e31,20210701T154500Z,2021-07-01,2021-07-01,pressandjournal.co.uk,,Manchester United,Jadon Sancho,2021-22,in,permanent,0,21.0,Left Winger,100000000.0,85000000.0,,0.85,15000000.0,0.7337,0.6069,0.5281,0.5281,0.5036,0.5,0.5,0.5833,0.3691,0.4,0.65,0.65,1,0.88,0,0.7333,unclear,report,1,1,0.5036,0.5036,0.5281,0.5281,
c8242c7d6f1024f3,2630c408b54ee63e,20230728T104500Z,2023-07-28,2023-07-28,caughtoffside.com,,Manchester United,Rasmus Højlund,2023-24,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.5263,0.5263,0.5023,0.5,0.5,0.5769,0.3691,0.4,0.65,0.65,8,0.88,0,0.7333,unclear,report,1,1,0.5023,0.5023,0.5263,0.5263,
f2574ff8a59eaba5,d8f66574b582ead9,20230801T210000Z,2023-08-01,2023-08-01,caughtoffside.com,,Manchester United,Rasmus Højlund,2023-24,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.6803,0.6803,0.5873,0.5,0.5,0.5769,0.3691,0.9,0.65,0.85,8,0.9,0,0.75,medical,report,1,1,0.5873,0.5873,0.6803,0.6803,
4ec8f9c77564f43c,2cf45bfd3fcfb930,20230729T150000Z,2023-07-29,2023-07-29,thepeoplesperson.com,,Manchester United,Rasmus Højlund,2023-24,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.5688,0.5688,0.5255,0.5,0.5,0.6429,0.3691,0.4,0.65,0.85,2,0.9,0,0.75,unclear,report,1,1,0.5255,0.5255,0.5688,0.5688,
3744987aac524efb,52441ca4ab8897b6,20250807T110000Z,2025-08-07,2025-08-07,teamtalk.com,,Manchester United,Benjamin Sesko,2025-26,in,permanent,0,22.0,Centre-Forward,70000000.0,76500000.0,,1.0929,-6500000.0,0.7041,0.5358,0.5097,0.5097,0.4797,0.5,0.5,0.3889,0.3691,0.4,0.65,0.95,4,0.9,0,0.75,unclear,report,1,1,0.4797,0.4797,0.5097,0.5097,
ebad462f299b0ba7,4f43e2f463088ba0,20220707T173000Z,2022-07-07,2022-07-07,thehardtackle.com,,Juventus,Matthijs de Ligt,2022-23,out,permanent,0,22.0,Centre-Back,70000000.0,67000000.0,,0.9571,3000000.0,0.6604,0.5838,0.4903,0.4903,0.4819,0.5,0.5,0.4375,0.4439,0.4,0.65,0.65,3,0.88,0,0.7333,unclear,report,1,1,0.4819,0.4819,0.4903,0.4903,
d2869804aeb56727,b8ef582fb0444565,20220705T101500Z,2022-07-05,2022-07-05,90min.com,,Juventus,Matthijs de Ligt,2022-23,out,permanent,0,22.0,Centre-Back,70000000.0,67000000.0,,0.9571,3000000.0,0.6604,0.5838,0.5571,0.5571,0.5339,0.5,0.5,0.6875,0.4439,0.48,0.45,0.65,3,0.88,0,0.7333,linked,aggregate,1,1,0.5339,0.5339,0.5571,0.5571,
6e9458f9d3295603,2ce8c4ca03324e69,20240718T233000Z,2024-07-18,2024-07-18,caughtoffside.com,,Manchester United,Leny Yoro,2024-25,in,permanent,0,18.0,Centre-Back,50000000.0,62000000.0,,1.24,-12000000.0,0.571,0.3855,0.6715,0.6715,0.5803,0.5,0.5,0.5769,0.3691,0.82,0.65,0.95,8,0.9,0,0.75,agreed,report,1,1,0.5803,0.5803,0.6715,0.6715,
a7607c12aeecff20,2d06da7c4debf117,20240718T093000Z,2024-07-18,2024-07-18,caughtoffside.com,,Manchester United,Leny Yoro,2024-25,in,permanent,0,18.0,Centre-Back,50000000.0,62000000.0,,1.24,-12000000.0,0.571,0.3855,0.5863,0.5863,0.5273,0.5,0.5,0.5769,0.3691,0.4,0.85,0.95,8,0.9,0,0.75,unclear,exclusive,1,1,0.5273,0.5273,0.5863,0.5863,
18322e26c6949504,0f1249d7cd621ee3,20220715T124500Z,2022-07-15,2022-07-15,dailypost.ng,,Manchester United,Lisandro Martínez,2022-23,in,permanent,0,24.0,Centre-Back,32000000.0,57370000.0,,1.7928,-25370000.0,0.5966,0.4983,0.5448,0.5448,0.5155,0.5,0.5,0.6429,0.3691,0.4,0.65,0.65,2,0.88,0,0.7333,unclear,report,1,1,0.5155,0.5155,0.5448,0.5448,
