date,club,opponent,competition,venue,result,goals_for,goals_against,score,source,source_url
2025-08-10,Ajax NV,Telstar,N1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-08-17,Ajax NV,Go Ahead Eagles,N1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-08-24,Ajax NV,Heracles,N1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-08-30,Ajax NV,Volendam,N1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-09-13,Ajax NV,Zwolle,N1,H,W,3,1,3-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-09-21,Ajax NV,PSV Eindhoven,N1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-09-27,Ajax NV,NAC Breda,N1,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-10-04,Ajax NV,Sparta Rotterdam,N1,A,D,3,3,3-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-10-18,Ajax NV,AZ Alkmaar,N1,H,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-10-26,Ajax NV,Twente,N1,A,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-11-01,Ajax NV,Heerenveen,N1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-11-09,Ajax NV,Utrecht,N1,A,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-11-22,Ajax NV,Excelsior,N1,H,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-12-02,Ajax NV,Groningen,N1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-12-06,Ajax NV,For Sittard,N1,A,W,3,1,3-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-12-14,Ajax NV,Feyenoord,N1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2025-12-20,Ajax NV,Nijmegen,N1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-01-11,Ajax NV,Telstar,N1,A,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-01-17,Ajax NV,Go Ahead Eagles,N1,H,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-01-24,Ajax NV,Volendam,N1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-02-01,Ajax NV,Excelsior,N1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-02-08,Ajax NV,AZ Alkmaar,N1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-02-14,Ajax NV,For Sittard,N1,H,W,4,1,4-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-02-21,Ajax NV,Nijmegen,N1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-03-01,Ajax NV,Zwolle,N1,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-03-07,Ajax NV,Groningen,N1,A,L,1,3,1-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-03-14,Ajax NV,Sparta Rotterdam,N1,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-03-22,Ajax NV,Feyenoord,N1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-04-04,Ajax NV,Twente,N1,H,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-04-11,Ajax NV,Heracles,N1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-04-25,Ajax NV,NAC Breda,N1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-05-02,Ajax NV,PSV Eindhoven,N1,H,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-05-10,Ajax NV,Utrecht,N1,H,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
2026-05-17,Ajax NV,Heerenveen,N1,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/n1.csv
