date,club,opponent,competition,venue,result,goals_for,goals_against,score,source,source_url
2025-08-16,Benfica SAD,Estrela,P1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-08-23,Benfica SAD,Tondela,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-08-31,Benfica SAD,Alverca,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-12,Benfica SAD,Santa Clara,P1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-20,Benfica SAD,AVS,P1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-23,Benfica SAD,Rio Ave,P1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-26,Benfica SAD,Gil Vicente,P1,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-10-05,Benfica SAD,Porto,P1,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-10-25,Benfica SAD,Arouca,P1,H,W,5,0,5-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-11-01,Benfica SAD,Guimaraes,P1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-11-09,Benfica SAD,Casa Pia,P1,H,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-11-29,Benfica SAD,Nacional,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-05,Benfica SAD,Sp Lisbon,P1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-14,Benfica SAD,Moreirense,P1,A,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-22,Benfica SAD,Famalicao,P1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-28,Benfica SAD,Sp Braga,P1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-01-03,Benfica SAD,Estoril,P1,H,W,3,1,3-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-01-17,Benfica SAD,Rio Ave,P1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-01-25,Benfica SAD,Estrela,P1,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-01,Benfica SAD,Tondela,P1,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-08,Benfica SAD,Alverca,P1,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-13,Benfica SAD,Santa Clara,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-21,Benfica SAD,AVS,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-03-02,Benfica SAD,Gil Vicente,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-03-08,Benfica SAD,Porto,P1,H,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-03-14,Benfica SAD,Arouca,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-03-21,Benfica SAD,Guimaraes,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-06,Benfica SAD,Casa Pia,P1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-12,Benfica SAD,Nacional,P1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-19,Benfica SAD,Sp Lisbon,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-25,Benfica SAD,Moreirense,P1,H,W,4,1,4-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-05-02,Benfica SAD,Famalicao,P1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-05-11,Benfica SAD,Sp Braga,P1,H,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-05-16,Benfica SAD,Estoril,P1,A,W,3,1,3-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
