date,club,opponent,competition,venue,result,goals_for,goals_against,score,source,source_url
2025-08-23,Borussia Dortmund,St Pauli,D1,A,D,3,3,3-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-08-31,Borussia Dortmund,Union Berlin,D1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-09-13,Borussia Dortmund,Heidenheim,D1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-09-21,Borussia Dortmund,Wolfsburg,D1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-09-27,Borussia Dortmund,Mainz,D1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-10-04,Borussia Dortmund,RB Leipzig,D1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-10-18,Borussia Dortmund,Bayern Munich,D1,A,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-10-25,Borussia Dortmund,FC Koln,D1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-10-31,Borussia Dortmund,Augsburg,D1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-11-08,Borussia Dortmund,Hamburg,D1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-11-22,Borussia Dortmund,Stuttgart,D1,H,D,3,3,3-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-11-29,Borussia Dortmund,Leverkusen,D1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-12-07,Borussia Dortmund,Hoffenheim,D1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-12-14,Borussia Dortmund,Freiburg,D1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2025-12-19,Borussia Dortmund,M'gladbach,D1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-01-09,Borussia Dortmund,Ein Frankfurt,D1,A,D,3,3,3-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-01-13,Borussia Dortmund,Werder Bremen,D1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-01-17,Borussia Dortmund,St Pauli,D1,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-01-24,Borussia Dortmund,Union Berlin,D1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-02-01,Borussia Dortmund,Heidenheim,D1,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-02-07,Borussia Dortmund,Wolfsburg,D1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-02-13,Borussia Dortmund,Mainz,D1,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-02-21,Borussia Dortmund,RB Leipzig,D1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-02-28,Borussia Dortmund,Bayern Munich,D1,H,L,2,3,2-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-03-07,Borussia Dortmund,FC Koln,D1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-03-14,Borussia Dortmund,Augsburg,D1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-03-21,Borussia Dortmund,Hamburg,D1,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-04-04,Borussia Dortmund,Stuttgart,D1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-04-11,Borussia Dortmund,Leverkusen,D1,H,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-04-18,Borussia Dortmund,Hoffenheim,D1,A,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-04-26,Borussia Dortmund,Freiburg,D1,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-05-03,Borussia Dortmund,M'gladbach,D1,A,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-05-08,Borussia Dortmund,Ein Frankfurt,D1,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
2026-05-16,Borussia Dortmund,Werder Bremen,D1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/d1.csv
