date,club,opponent,competition,venue,result,goals_for,goals_against,score,source,source_url
2025-08-03,Celtic plc,St Mirren,SC0,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-08-10,Celtic plc,Aberdeen,SC0,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-08-23,Celtic plc,Livingston,SC0,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-08-31,Celtic plc,Rangers,SC0,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-09-14,Celtic plc,Kilmarnock,SC0,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-09-27,Celtic plc,Hibernian,SC0,H,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-10-05,Celtic plc,Motherwell,SC0,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-10-19,Celtic plc,Dundee,SC0,A,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-10-26,Celtic plc,Hearts,SC0,A,L,1,3,1-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-10-29,Celtic plc,Falkirk,SC0,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-11-09,Celtic plc,Kilmarnock,SC0,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-11-22,Celtic plc,St Mirren,SC0,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-11-30,Celtic plc,Hibernian,SC0,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-12-03,Celtic plc,Dundee,SC0,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
2025-12-07,Celtic plc,Hearts,SC0,H,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/sc0.csv
