date,club,opponent,competition,venue,result,goals_for,goals_against,score,source,source_url
2025-08-11,FC Porto SAD,Guimaraes,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-08-18,FC Porto SAD,Gil Vicente,P1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-08-24,FC Porto SAD,Casa Pia,P1,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-08-30,FC Porto SAD,Sp Lisbon,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-13,FC Porto SAD,Nacional,P1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-19,FC Porto SAD,Rio Ave,P1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-29,FC Porto SAD,Arouca,P1,A,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-10-05,FC Porto SAD,Benfica,P1,H,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-10-27,FC Porto SAD,Moreirense,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-11-02,FC Porto SAD,Sp Braga,P1,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-11-09,FC Porto SAD,Famalicao,P1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-11-30,FC Porto SAD,Estoril,P1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-07,FC Porto SAD,Tondela,P1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-15,FC Porto SAD,Estrela,P1,H,W,3,1,3-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-22,FC Porto SAD,Alverca,P1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-29,FC Porto SAD,AVS,P1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-01-04,FC Porto SAD,Santa Clara,P1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-01-18,FC Porto SAD,Guimaraes,P1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-01-26,FC Porto SAD,Gil Vicente,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-02,FC Porto SAD,Casa Pia,P1,A,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-09,FC Porto SAD,Sp Lisbon,P1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-15,FC Porto SAD,Nacional,P1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-22,FC Porto SAD,Rio Ave,P1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-27,FC Porto SAD,Arouca,P1,H,W,3,1,3-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-03-08,FC Porto SAD,Benfica,P1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-03-15,FC Porto SAD,Moreirense,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-03-22,FC Porto SAD,Sp Braga,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-04,FC Porto SAD,Famalicao,P1,H,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-12,FC Porto SAD,Estoril,P1,A,W,3,1,3-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-19,FC Porto SAD,Tondela,P1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-26,FC Porto SAD,Estrela,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-05-02,FC Porto SAD,Alverca,P1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-05-10,FC Porto SAD,AVS,P1,A,L,1,3,1-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-05-16,FC Porto SAD,Santa Clara,P1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
