date,club,opponent,competition,venue,result,goals_for,goals_against,score,source,source_url
2025-08-24,Juventus,Parma,I1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-08-31,Juventus,Genoa,I1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-09-13,Juventus,Inter,I1,H,W,4,3,4-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-09-20,Juventus,Verona,I1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-09-27,Juventus,Atalanta,I1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-10-05,Juventus,Milan,I1,H,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-10-19,Juventus,Como,I1,A,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-10-26,Juventus,Lazio,I1,A,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-10-29,Juventus,Udinese,I1,H,W,3,1,3-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-11-01,Juventus,Cremonese,I1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-11-08,Juventus,Torino,I1,H,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-11-22,Juventus,Fiorentina,I1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-11-29,Juventus,Cagliari,I1,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-12-07,Juventus,Napoli,I1,A,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-12-14,Juventus,Bologna,I1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-12-20,Juventus,Roma,I1,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-12-27,Juventus,Pisa,I1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-03,Juventus,Lecce,I1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-06,Juventus,Sassuolo,I1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-12,Juventus,Cremonese,I1,H,W,5,0,5-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-17,Juventus,Cagliari,I1,A,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-25,Juventus,Napoli,I1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-02-01,Juventus,Parma,I1,A,W,4,1,4-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-02-08,Juventus,Lazio,I1,H,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-02-14,Juventus,Inter,I1,A,L,2,3,2-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-02-21,Juventus,Como,I1,H,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-03-01,Juventus,Roma,I1,A,D,3,3,3-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-03-07,Juventus,Pisa,I1,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-03-14,Juventus,Udinese,I1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-03-21,Juventus,Sassuolo,I1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-04-06,Juventus,Genoa,I1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-04-11,Juventus,Atalanta,I1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-04-19,Juventus,Bologna,I1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-04-26,Juventus,Milan,I1,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-05-03,Juventus,Verona,I1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-05-09,Juventus,Lecce,I1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-05-17,Juventus,Fiorentina,I1,H,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
