date,club,opponent,competition,venue,result,goals_for,goals_against,score,source,source_url
2025-08-24,Lazio,Como,I1,A,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-08-31,Lazio,Verona,I1,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-09-14,Lazio,Sassuolo,I1,A,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-09-21,Lazio,Roma,I1,H,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-09-29,Lazio,Genoa,I1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-10-04,Lazio,Torino,I1,H,D,3,3,3-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-10-19,Lazio,Atalanta,I1,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-10-26,Lazio,Juventus,I1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-10-30,Lazio,Pisa,I1,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-11-03,Lazio,Cagliari,I1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-11-09,Lazio,Inter,I1,A,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-11-23,Lazio,Lecce,I1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-11-29,Lazio,Milan,I1,A,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-12-07,Lazio,Bologna,I1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-12-13,Lazio,Parma,I1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-12-20,Lazio,Cremonese,I1,H,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2025-12-27,Lazio,Udinese,I1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-04,Lazio,Napoli,I1,H,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-07,Lazio,Fiorentina,I1,H,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-11,Lazio,Verona,I1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-19,Lazio,Como,I1,H,L,0,3,0-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-24,Lazio,Lecce,I1,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-01-30,Lazio,Genoa,I1,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-02-08,Lazio,Juventus,I1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-02-14,Lazio,Atalanta,I1,H,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-02-21,Lazio,Cagliari,I1,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-03-01,Lazio,Torino,I1,A,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-03-09,Lazio,Sassuolo,I1,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-03-15,Lazio,Milan,I1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-03-22,Lazio,Bologna,I1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-04-04,Lazio,Parma,I1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-04-13,Lazio,Fiorentina,I1,A,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-04-18,Lazio,Napoli,I1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-04-27,Lazio,Udinese,I1,H,D,3,3,3-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-05-04,Lazio,Cremonese,I1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-05-09,Lazio,Inter,I1,H,L,0,3,0-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
2026-05-17,Lazio,Roma,I1,A,L,0,2,0-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/i1.csv
