date,club,opponent,competition,venue,result,goals_for,goals_against,score,source,source_url
2025-08-17,Manchester United,Arsenal,E0,H,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-08-24,Manchester United,Fulham,E0,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-08-30,Manchester United,Burnley,E0,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-09-14,Manchester United,Man City,E0,A,L,0,3,0-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-09-20,Manchester United,Chelsea,E0,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-09-27,Manchester United,Brentford,E0,A,L,1,3,1-3,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-10-04,Manchester United,Sunderland,E0,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-10-19,Manchester United,Liverpool,E0,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-10-25,Manchester United,Brighton,E0,H,W,4,2,4-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-11-01,Manchester United,Nott'm Forest,E0,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-11-08,Manchester United,Tottenham,E0,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-11-24,Manchester United,Everton,E0,H,L,0,1,0-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-11-30,Manchester United,Crystal Palace,E0,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-12-04,Manchester United,West Ham,E0,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-12-08,Manchester United,Wolves,E0,A,W,4,1,4-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-12-15,Manchester United,Bournemouth,E0,H,D,4,4,4-4,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-12-21,Manchester United,Aston Villa,E0,A,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-12-26,Manchester United,Newcastle,E0,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2025-12-30,Manchester United,Wolves,E0,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-01-04,Manchester United,Leeds,E0,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-01-07,Manchester United,Burnley,E0,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-01-17,Manchester United,Man City,E0,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-01-25,Manchester United,Arsenal,E0,A,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-02-01,Manchester United,Fulham,E0,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-02-07,Manchester United,Tottenham,E0,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-02-10,Manchester United,West Ham,E0,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-02-23,Manchester United,Everton,E0,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-03-01,Manchester United,Crystal Palace,E0,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-03-04,Manchester United,Newcastle,E0,A,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-03-15,Manchester United,Aston Villa,E0,H,W,3,1,3-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-03-20,Manchester United,Bournemouth,E0,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-04-13,Manchester United,Leeds,E0,H,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-04-18,Manchester United,Chelsea,E0,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-04-27,Manchester United,Brentford,E0,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-05-03,Manchester United,Liverpool,E0,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-05-09,Manchester United,Sunderland,E0,A,D,0,0,0-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
2026-05-17,Manchester United,Nott'm Forest,E0,H,W,3,2,3-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/e0.csv
