date,club,opponent,competition,venue,result,goals_for,goals_against,score,source,source_url
2025-08-08,Sporting CP SAD,Casa Pia,P1,A,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-08-17,Sporting CP SAD,Arouca,P1,H,W,6,0,6-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-08-23,Sporting CP SAD,Nacional,P1,A,W,4,1,4-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-08-30,Sporting CP SAD,Porto,P1,H,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-13,Sporting CP SAD,Famalicao,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-22,Sporting CP SAD,Moreirense,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-09-27,Sporting CP SAD,Estoril,P1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-10-05,Sporting CP SAD,Sp Braga,P1,H,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-10-26,Sporting CP SAD,Tondela,P1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-10-31,Sporting CP SAD,Alverca,P1,H,W,2,0,2-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-11-08,Sporting CP SAD,Santa Clara,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-11-30,Sporting CP SAD,Estrela,P1,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-05,Sporting CP SAD,Benfica,P1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-13,Sporting CP SAD,AVS,P1,H,W,6,0,6-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-23,Sporting CP SAD,Guimaraes,P1,A,W,4,1,4-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2025-12-28,Sporting CP SAD,Rio Ave,P1,H,W,4,0,4-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-01-02,Sporting CP SAD,Gil Vicente,P1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-01-16,Sporting CP SAD,Casa Pia,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-01-24,Sporting CP SAD,Arouca,P1,A,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-01,Sporting CP SAD,Nacional,P1,H,W,2,1,2-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-09,Sporting CP SAD,Porto,P1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-15,Sporting CP SAD,Famalicao,P1,H,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-21,Sporting CP SAD,Moreirense,P1,A,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-02-27,Sporting CP SAD,Estoril,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-03-07,Sporting CP SAD,Sp Braga,P1,A,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-03-22,Sporting CP SAD,Alverca,P1,A,W,4,1,4-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-03,Sporting CP SAD,Santa Clara,P1,H,W,4,2,4-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-11,Sporting CP SAD,Estrela,P1,A,W,1,0,1-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-19,Sporting CP SAD,Benfica,P1,H,L,1,2,1-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-26,Sporting CP SAD,AVS,P1,A,D,1,1,1-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-04-29,Sporting CP SAD,Tondela,P1,H,D,2,2,2-2,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-05-04,Sporting CP SAD,Guimaraes,P1,H,W,5,1,5-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-05-11,Sporting CP SAD,Rio Ave,P1,A,W,4,1,4-1,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
2026-05-16,Sporting CP SAD,Gil Vicente,P1,H,W,3,0,3-0,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/p1.csv
