date,original_transfer_date,event_date_source,event_date_confidence,season,club,player,direction,from_club,to_club,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,transfer_type,is_loan,source,source_url
2021-05-24,2021-05-24,exact_transfer_date,0.85,2021-22,Juventus,Edwin Mosquera,in,Indep. Medellín,Juventus,19,Left Winger,350000.0,0.0,,loan,1,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Ajax NV,Carel Eiting,out,Ajax NV,Genk,23,Central Midfield,4000000.0,,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Ajax NV,Danilo,in,Ajax U21,Ajax NV,22,Centre-Forward,4200000.0,,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Ajax NV,Jay Gorter,in,Go Ahead Eagles,Ajax NV,21,Goalkeeper,700000.0,1000000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Ajax NV,Lassina Traoré,out,Ajax NV,Shakhtar D.,20,Centre-Forward,6500000.0,10000000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Ajax NV,Noa Lang,out,Ajax NV,Club Brugge,22,Left Winger,22000000.0,6000000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Ajax NV,Remko Pasveer,in,Vitesse,Ajax NV,37,Goalkeeper,250000.0,0.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Ajax NV,Răzvan Marin,out,Ajax NV,Cagliari,25,Central Midfield,15000000.0,6900000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Benfica SAD,Gil Dias,in,Monaco,Benfica SAD,24,Right Winger,3000000.0,1500000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Benfica SAD,Ilija Vukotić,in,Benfica B,Benfica SAD,22,Central Midfield,400000.0,,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Benfica SAD,Morato,in,Benfica B,Benfica SAD,20,Centre-Back,2000000.0,,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Benfica SAD,Pedrinho,out,Benfica SAD,Shakhtar D.,23,Right Winger,15000000.0,18000000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Benfica SAD,Rodrigo Pinho,in,Marítimo,Benfica SAD,30,Centre-Forward,2500000.0,0.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Borussia Dortmund,Ansgar Knauff,in,B. Dortmund II,Borussia Dortmund,19,Right Winger,3000000.0,,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Borussia Dortmund,Gregor Kobel,in,Stuttgart,Borussia Dortmund,23,Goalkeeper,13000000.0,15000000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Borussia Dortmund,Jeremy Toljan,out,Borussia Dortmund,Sassuolo,26,Right-Back,5000000.0,3500000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Borussia Dortmund,Sergio Gómez,out,Borussia Dortmund,RSC Anderlecht,20,Left-Back,2500000.0,3500000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Borussia Dortmund,Soumaïla Coulibaly,in,Paris SG U19,Borussia Dortmund,17,Centre-Back,,0.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Celtic plc,Adam Montgomery,in,Celtic B,Celtic plc,18,Left-Back,150000.0,,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Celtic plc,Jack Hendry,out,Celtic plc,KV Oostende,26,Centre-Back,3500000.0,1100000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Celtic plc,Jonathan Afolabi,in,Celtic B,Celtic plc,21,Centre-Forward,175000.0,,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Celtic plc,Karamoko Dembélé,in,Celtic B,Celtic plc,18,Attacking Midfield,250000.0,,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Celtic plc,Kerr McInroy,in,Celtic B,Celtic plc,20,Central Midfield,200000.0,,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Celtic plc,Liam Shaw,in,Sheff Wed,Celtic plc,20,Defensive Midfield,350000.0,345000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
2021-07-01,2021-07-01,exact_transfer_date,0.85,2021-22,Celtic plc,Osaze Urhoghide,in,Sheff Wed,Celtic plc,20,Centre-Back,300000.0,230000.0,,permanent,0,dcaribou/transfermarkt-datasets,https://pub-e682421888d945d684bcae8890b0ec20.r2.dev/data/transfers.csv.gz
