date,season,club,player,direction,from_club,to_club,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,transfer_type,is_loan,source,source_url
2021-07-01,2021-22,Borussia Dortmund,Ansgar Knauff,in,B. Dortmund II,Borussia Dortmund,19,Right Winger,,,,permanent,0,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Donyell Malen,in,PSV Eindhoven,Borussia Dortmund,22,Centre-Forward,,30000000.0,,permanent,0,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Gregor Kobel,in,VfB Stuttgart,Borussia Dortmund,23,Goalkeeper,,15000000.0,,permanent,0,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Immanuel Pherai,in,PEC Zwolle,Borussia Dortmund,20,Attacking Midfield,,,,loan,1,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Immanuel Pherai,out,Borussia Dortmund,B. Dortmund II,20,Attacking Midfield,,,,permanent,0,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Jadon Sancho,out,Borussia Dortmund,Man Utd,21,Left Winger,,85000000.0,,permanent,0,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Jeremy Toljan,in,Sassuolo,Borussia Dortmund,26,Right-Back,,,,loan,1,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Jeremy Toljan,out,Borussia Dortmund,Sassuolo,26,Right-Back,,3500000.0,,permanent,0,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Leonardo Balerdi,in,Marseille,Borussia Dortmund,22,Centre-Back,,,,loan,1,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Leonardo Balerdi,out,Borussia Dortmund,Marseille,22,Centre-Back,,11000000.0,,permanent,0,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Lukasz Piszczek,out,Borussia Dortmund,Goczalkowice,36,Right-Back,,0.0,,permanent,0,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Marin Pongracic,in,VfL Wolfsburg,Borussia Dortmund,23,Centre-Back,,,,loan,1,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
2021-07-01,2021-22,Borussia Dortmund,Marius Wolf,in,1. FC Köln,Borussia Dortmund,26,Right Winger,,,,loan,1,ewenme/transfers,https://github.com/ewenme/transfers/blob/master/data/1-bundesliga.csv
