rank,date,original_transfer_date,date_note,season,club,player,direction,transfer_type,transfer_quality,rumor_count,max_rumor_strength,observed_car_m1_p1,observed_label,heuristic_predicted_car,heuristic_label,confidence,interpretation
1,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Samuel Iling Junior,in,permanent,0.65,0,,0.11521,positive,0.009,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
2,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Luca Pellegrini,out,loan,0.67,0,,0.11521,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
3,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Marley Aké,out,loan,0.67,0,,0.11521,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
4,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Weston McKennie,out,loan,0.67,0,,0.11521,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
5,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Denis Zakaria,in,permanent,0.75,0,,0.101436,positive,0.015,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
6,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Federico Gatti,in,permanent,0.75,0,,0.101436,positive,0.015,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
7,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Dušan Vlahović,in,permanent,0.725,0,,0.101436,positive,0.0135,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
8,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Marley Aké,in,permanent,0.7,0,,0.101436,positive,0.012,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
9,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Aaron Ramsey,out,loan,0.77,0,,0.101436,positive,0.0105,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
10,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Dejan Kulusevski,out,loan,0.67,0,,0.101436,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
