rank,date,original_transfer_date,date_note,season,club,player,direction,transfer_type,transfer_quality,rumor_count,max_rumor_strength,observed_car_m1_p1,observed_label,heuristic_predicted_car,heuristic_label,confidence,interpretation
1,2023-08-01,,exact or source-provided date,2023-24,Manchester United,Rasmus Højlund,in,permanent,0.511,1,0.675,-0.090789,negative,0.0094,neutral,0.6538,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
2,2023-07-29,,exact or source-provided date,2023-24,Manchester United,Rasmus Højlund,in,permanent,0.511,1,0.465,-0.081609,negative,-0.0011,neutral,0.5593,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
3,2025-08-07,,exact or source-provided date,2025-26,Manchester United,Benjamin Sesko,in,permanent,0.7041,1,0.7575,-0.042431,negative,0.0251,positive,0.6909,Observed negative abnormal return; heuristic says positive; 1 matched rumor/news rows.
4,2024-06-14,,exact or source-provided date,2024-25,Juventus,Douglas Luiz,in,permanent,0.7845,1,0.7575,0.04007,positive,0.0299,positive,0.6909,Observed positive abnormal return; heuristic says positive; 1 matched rumor/news rows.
5,2022-07-15,,exact or source-provided date,2022-23,Manchester United,Lisandro Martínez,in,permanent,0.5966,1,0.465,0.034835,positive,0.004,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
6,2024-06-30,,exact or source-provided date,2024-25,Juventus,Douglas Luiz,in,permanent,0.7845,1,0.465,0.031302,positive,0.0153,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
7,2024-06-22,,exact or source-provided date,2024-25,Juventus,Douglas Luiz,in,permanent,0.7845,1,0.465,0.028573,positive,0.0153,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
8,2024-07-18,,exact or source-provided date,2024-25,Manchester United,Leny Yoro,in,permanent,0.571,1,0.675,-0.027537,negative,0.013,neutral,0.6538,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
9,2024-07-18,,exact or source-provided date,2024-25,Manchester United,Leny Yoro,in,permanent,0.571,1,0.465,-0.027537,negative,0.0025,neutral,0.5593,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
10,2022-07-05,,exact or source-provided date,2022-23,Juventus,Matthijs de Ligt,out,permanent,0.6604,1,0.465,0.024903,positive,0.0045,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
11,2025-06-11,,exact or source-provided date,2025-26,Borussia Dortmund,Jamie Gittens,out,permanent,0.697,1,0.465,-0.023022,negative,0.0059,neutral,0.5593,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
12,2023-06-14,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.465,0.021127,positive,0.0054,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
13,2025-06-01,,exact or source-provided date,2025-26,Manchester United,Matheus Cunha,in,permanent,0.6717,1,0.465,0.020295,positive,0.0086,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
14,2025-06-01,,exact or source-provided date,2025-26,Manchester United,Matheus Cunha,in,permanent,0.6717,1,0.465,0.020295,positive,0.0086,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
15,2025-06-01,,exact or source-provided date,2025-26,Manchester United,Matheus Cunha,in,permanent,0.6717,1,0.465,0.020295,positive,0.0086,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
16,2022-07-18,,exact or source-provided date,2022-23,Juventus,Matthijs de Ligt,out,permanent,0.6604,1,0.465,0.019731,neutral,0.0045,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
17,2022-07-17,,exact or source-provided date,2022-23,Manchester United,Lisandro Martínez,in,permanent,0.5966,1,0.675,0.015876,neutral,0.0145,neutral,0.6538,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
18,2022-07-17,,exact or source-provided date,2022-23,Manchester United,Lisandro Martínez,in,permanent,0.5966,1,0.465,0.015876,neutral,0.004,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
19,2023-06-07,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.465,0.014634,neutral,0.0054,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
20,2022-07-19,,exact or source-provided date,2022-23,Juventus,Bremer,in,permanent,0.6452,1,0.465,0.011952,neutral,0.007,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
21,2022-07-19,,exact or source-provided date,2022-23,Juventus,Bremer,in,permanent,0.6452,1,0.465,0.011952,neutral,0.007,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
22,2025-07-20,,exact or source-provided date,2025-26,Manchester United,Benjamin Sesko,in,permanent,0.7041,1,0.7575,0.011669,neutral,0.0251,positive,0.6909,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
23,2025-07-19,,exact or source-provided date,2025-26,Manchester United,Benjamin Sesko,in,permanent,0.7041,1,0.465,0.011669,neutral,0.0105,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
24,2025-07-03,,exact or source-provided date,2025-26,Borussia Dortmund,Jamie Gittens,out,permanent,0.697,1,0.465,-0.00926,neutral,0.0059,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
25,2021-07-01,,proxy window date; not exact announcement date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.465,0.007938,neutral,0.0123,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
26,2021-07-01,,proxy window date; not exact announcement date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.465,0.007938,neutral,0.0123,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
27,2023-07-28,,exact or source-provided date,2023-24,Manchester United,Rasmus Højlund,in,permanent,0.511,1,0.465,-0.007125,neutral,-0.0011,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
28,2023-06-15,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.465,-0.004968,neutral,0.0054,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
29,2022-07-21,,exact or source-provided date,2022-23,Juventus,Bremer,in,permanent,0.6452,1,0.465,0.004755,neutral,0.007,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
30,2024-06-23,,exact or source-provided date,2024-25,Manchester United,Leny Yoro,in,permanent,0.571,1,0.675,0.004062,neutral,0.013,neutral,0.6538,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
31,2021-07-02,,exact or source-provided date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.675,-0.003735,neutral,0.0228,positive,0.6538,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
