rank,date,original_transfer_date,date_note,season,club,player,direction,transfer_type,transfer_quality,rumor_count,max_rumor_strength,observed_car_m1_p1,observed_label,heuristic_predicted_car,heuristic_label,confidence,interpretation
1,2022-01-25,,exact or source-provided date,2021-22,Juventus,Dušan Vlahović,in,permanent,0.6755,1,0.9675,0.107563,positive,0.0339,positive,0.7854,Observed positive abnormal return; heuristic says positive; 1 matched rumor/news rows.
2,2023-08-01,,exact or source-provided date,2023-24,Manchester United,Rasmus Højlund,in,permanent,0.511,1,0.675,-0.090789,negative,0.0094,neutral,0.6538,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
3,2023-07-29,,exact or source-provided date,2023-24,Manchester United,Rasmus Højlund,in,permanent,0.511,1,0.465,-0.081609,negative,-0.0011,neutral,0.5593,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
4,2022-01-27,,exact or source-provided date,2021-22,Juventus,Dušan Vlahović,in,permanent,0.6755,1,0.7575,0.07937,positive,0.0234,positive,0.6909,Observed positive abnormal return; heuristic says positive; 1 matched rumor/news rows.
5,2025-08-07,,exact or source-provided date,2025-26,Manchester United,Benjamin Sesko,in,permanent,0.7041,1,0.7575,-0.042431,negative,0.0251,positive,0.6909,Observed negative abnormal return; heuristic says positive; 1 matched rumor/news rows.
6,2022-08-30,,exact or source-provided date,2022-23,Manchester United,Antony,in,permanent,0.5,1,0.896,0.04138,positive,0.0198,neutral,0.7532,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
7,2024-06-14,,exact or source-provided date,2024-25,Juventus,Douglas Luiz,in,permanent,0.7845,1,0.7575,0.04007,positive,0.0299,positive,0.6909,Observed positive abnormal return; heuristic says positive; 1 matched rumor/news rows.
8,2023-06-08,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.686,0.035965,positive,0.0164,neutral,0.6587,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
9,2022-07-15,,exact or source-provided date,2022-23,Manchester United,Lisandro Martínez,in,permanent,0.5966,1,0.465,0.034835,positive,0.004,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
10,2021-06-23,,exact or source-provided date,2021-22,Borussia Dortmund,Jadon Sancho,out,permanent,0.6362,1,0.7575,-0.032513,negative,0.0182,neutral,0.6909,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
11,2024-06-30,,exact or source-provided date,2024-25,Juventus,Douglas Luiz,in,permanent,0.7845,1,0.465,0.031302,positive,0.0153,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
12,2024-06-22,,exact or source-provided date,2024-25,Juventus,Douglas Luiz,in,permanent,0.7845,1,0.465,0.028573,positive,0.0153,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
13,2022-01-30,,exact or source-provided date,2021-22,Juventus,Dušan Vlahović,in,permanent,0.6755,1,0.7575,-0.028485,negative,0.0234,positive,0.6909,Observed negative abnormal return; heuristic says positive; 1 matched rumor/news rows.
